entity_id,wikimedia_url,poi_name,wikidata_id,instance_tag,category,poi_name_tags,geohack_url,latitude,longitude,country_code,country,region,subregion,city,osm_id,nearby_pov_cluster
0,https://commons.wikimedia.org/wiki/Category:Michinoeki_Utsunoya_Toge,Michinoeki Utsunoya Toge,Q11641251,"[""roadside station""]",other,"道の駅宇津ノ谷峠,宇津ノ谷峠,道之驛宇津之谷峠,宇津ノ谷峠,宇津之谷峠服务区,roadside station utsunoya-touge",https://geohack.toolforge.org/geohack.php?pagename=Category:Michinoeki_Utsunoya_Toge&params=34.925416666667_N_138.30083333333_E_globe:Earth_&language=en,34.925416666667,138.30083333333,JP,Japan,Asia,Eastern Asia,Yaizu,,
1,https://commons.wikimedia.org/wiki/Category:Togakushi_Shrine,Togakushi Shrine,Q218828,"[""Shinto shrine""]",other,"togakushi-schrein,戸隠神社,顕光寺,戸隠権現,戸隠三社,戸隠三所権現,togakushi-jinja,togakushi shrine,santuario togakushi,戶隱神社,kuil togakushi",https://geohack.toolforge.org/geohack.php?pagename=Category:Togakushi_Shrine&params=36.742504_N_138.085128_E_globe:Earth_&language=en,36.742504,138.085128,JP,Japan,Asia,Eastern Asia,Nagano-shi,,
2,https://commons.wikimedia.org/wiki/Category:Tokyo_Tatsumi_International_Swimming_Center,Tokyo Tatsumi International Swimming Center,Q6148001,"[""Q11548891"", ""swimming center""]",other,"東京辰巳国際水泳場,辰巳国際水泳場,東京辰巳国際水泳場,مرکز بین‌المللی شنای تاتسومی توکیو,مرکز بین المللی شنای تاتسومی توکیو,tokyo tatsumi international swimming centre,tatsumi international swimming center,centre international de natation de tatsumi,東京辰巳國際遊泳館,东京辰巳国际游泳馆,ศนยกฬาวายนาระหวางประเทศทะสมโตเกยว,東京辰巳國際水泳場,东京辰巳国际游泳馆,tokyo tatsumi international swimming centre,tokijo tacumi tarptautinis plaukimo centras,tokyo tatsumi international swimming center,东京辰巳国际游泳馆,tokyo tatsumi international swimming center,tokyo tatsumi international swimming centre,tatsumi international swimming centre,مركز طوكيو تاتسومي الدولي للسباحة,centro internacional de natacion tokio tatsuimi,centro internacional de natacao tokyo tatsumi,centre internacional de natacio de tatsuimi,tokyo tatsumi international swimming center,tokyo tatsumi uluslararası yuzme merkezi,международныи плавательныи центр токио тацуми,tokyo tatsumi international swimming center,tokio tatsumi nazioarteko igeriketa zentroa,pusat renang internasional tokyo tatsumi,internacia nagada centro tacumi",https://geohack.toolforge.org/geohack.php?pagename=Category:Tokyo_Tatsumi_International_Swimming_Center&params=35.647666666667_N_139.81894166667_E_globe:Earth_&language=en,35.647666666667,139.81894166667,JP,Japan,Asia,Eastern Asia,Urayasu,,
3,https://commons.wikimedia.org/wiki/Category:Ichinokuta_Chuo_Park,Ichinokuta Chuo Park,Q11479986,"[""park""]",other,"市之久田中央公園,ichinokuta chuo park",https://geohack.toolforge.org/geohack.php?pagename=Category:Ichinokuta_Chuo_Park&params=35.280503_N_136.915631_E_globe:Earth_&language=en,35.280503,136.915631,JP,Japan,Asia,Eastern Asia,Komaki,,
4,"https://commons.wikimedia.org/wiki/Category:Konjo-in_(Toshima,_Tokyo)","Konjo-in (Toshima, Tokyo)",Q11646320,"[""Buddhist temple""]",other,"金乗院,目白不動,金乘院 (豐島區),konjo-in temple,konjo-in,mejiro fudo,konjo-in,konjo-in,konjodzin,wihara konjo-in","https://geohack.toolforge.org/geohack.php?pagename=Category:Konjo-in_(Toshima,_Tokyo)&params=035.716222_N_0139.714806_E_globe:Earth_class:object_region:JP_type:landmark_&language=en",35.716222,139.714806,JP,Japan,Asia,Eastern Asia,Tokyo,,
5,https://commons.wikimedia.org/wiki/Category:Sojiji_Soin,Sojiji Soin,Q3511690,"[""Buddhist temple""]",other,"soji-ji soin,總持寺祖院,總持寺祖院,古和秀水,soji-ji so-in temple,sojiji soin,sodzidzi soin,wihara soji-ji so-in",https://geohack.toolforge.org/geohack.php?pagename=Category:Sojiji_Soin&params=37.2864_N_136.771_E_globe:Earth_&language=en,37.2864,136.771,JP,Japan,Asia,Eastern Asia,Nanao,,
6,https://commons.wikimedia.org/wiki/Category:Tsurugisaki_Lighthouse,Tsurugisaki Lighthouse,Q7850274,"[""lighthouse""]",tower,"tsurugisaki lighthouse,剱埼灯台,剣埼灯台,faro de tsurugisaki",https://geohack.toolforge.org/geohack.php?pagename=Category:Tsurugisaki_Lighthouse&params=35.140277777778_N_139.67722222222_E_globe:Earth_&language=en,35.140277777778,139.67722222222,JP,Japan,Asia,Eastern Asia,Miura,,
7,https://commons.wikimedia.org/wiki/Category:Yokohama_Port_Symbol_Tower,Yokohama Port Symbol Tower,Q11543216,"[""park""]",other,"横浜港シンホルタワー,本牧船舶通航信号所,yokohamako symbol tower,橫濱港標誌塔,橫濱港符號塔,yokohama port symbol tower",https://geohack.toolforge.org/geohack.php?pagename=Category:Yokohama_Port_Symbol_Tower&params=35.439167_N_139.689444_E_globe:Earth_&language=en,35.439167,139.689444,JP,Japan,Asia,Eastern Asia,Yokohama,,
8,https://commons.wikimedia.org/wiki/Category:Iwaya-ji_(Kumak%C5%8Dgen),Iwaya-ji (Kumakōgen),Q11474382,"[""Buddhist temple""]",other,"岩屋寺,iwaya-ji temple,iwaya-ji,iwaya-ji,iwaya-ji,wihara iwaya-ji",https://geohack.toolforge.org/geohack.php?pagename=Category:Iwaya-ji_(Kumak%C5%8Dgen)&params=33.658666666667_N_132.98072222222_E_globe:Earth_&language=en,33.658666666667,132.98072222222,JP,Japan,Asia,Eastern Asia,Matsuyama,node/4435482997,
9,https://commons.wikimedia.org/wiki/Category:Mount_Asama_(Ise_and_Toba),Mount Asama (Ise and Toba),Q29168305,"[""mountain""]",other,"朝熊山,朝熊ヶ岳,朝熊ケ岳,mount asama,asama-take,asama-take,朝熊山",https://geohack.toolforge.org/geohack.php?pagename=Category:Mount_Asama_(Ise_and_Toba)&params=34.461111111111_N_136.78055555556_E_globe:Earth_&language=en,34.461111111111,136.78055555556,JP,Japan,Asia,Eastern Asia,Toba,,
10,"https://commons.wikimedia.org/wiki/Category:Gokurakuji_(Saijo,_Ehime)","Gokurakuji (Saijo, Ehime)",Q11541494,"[""Buddhist temple""]",other,"極楽寺,gokuraku-ji temple,wihara gokuraku-ji","https://geohack.toolforge.org/geohack.php?pagename=Category:Gokurakuji_(Saijo,_Ehime)&params=33.845361111111_N_133.14830555556_E_globe:Earth_&language=en",33.845361111111,133.14830555556,JP,Japan,Asia,Eastern Asia,Saijo,,
11,"https://commons.wikimedia.org/wiki/Category:Kanda,_Tokyo","Kanda, Tokyo",Q10220547,"[""neighborhood"", ""historical region"", ""college town""]",other,"神田,神田,kanda, tokyo,کاندا، توکیو,kanda (toquio),간다 (지요다구),kanda (tokyo)","https://geohack.toolforge.org/geohack.php?pagename=Category:Kanda,_Tokyo&params=35.693_N_139.768_E_globe:Earth_&language=en",35.693,139.768,JP,Japan,Asia,Eastern Asia,Tokyo,,
12,https://commons.wikimedia.org/wiki/Category:Nogi-jinja_(Shimonoseki),Nogi-jinja (Shimonoseki),Q11368832,"[""Nogi shrine""]",other,"乃木神社,nogi shrine,sanctuaire de nogi",https://geohack.toolforge.org/geohack.php?pagename=Category:Nogi-jinja_(Shimonoseki)&params=33.999722_N_130.985833_E_globe:Earth_&language=en,33.999722,130.985833,JP,Japan,Asia,Eastern Asia,Shimonoseki,,
13,https://commons.wikimedia.org/wiki/Category:Japanese_Folk_Crafts_Museum,Japanese Folk Crafts Museum,Q3789149,"[""art museum""]",other,"日本民藝館,日本民芸館,musee d'artisanat folklorique japonais,musee du mingei,japanese folk crafts museum,japan folk crafts museum,the japan folk crafts museum,大阪日本民艺馆,museum fur japanische volkskunst,japon halk sanatları muzesi,日本民藝館",https://geohack.toolforge.org/geohack.php?pagename=Category:Japanese_Folk_Crafts_Museum&params=35.66083333_N_139.67916667_E_globe:Earth_&language=en,35.66083333,139.67916667,JP,Japan,Asia,Eastern Asia,Tokyo,node/1420781094,
14,https://commons.wikimedia.org/wiki/Category:Korizu-jinja,Korizu-jinja,Q20044233,"[""Shinto shrine"", ""Shikinaisha"", ""Kokuhei-sha""]",other,"郡頭神社,郡頭神社,korizu shrine,korizu-jinja,kuil korizu,sanctuaire de korizu",https://geohack.toolforge.org/geohack.php?pagename=Category:Korizu-jinja&params=33.551911_N_133.499084_E_globe:Earth_&language=en,33.551911,133.499084,JP,Japan,Asia,Eastern Asia,Kochi-shi,,
15,https://commons.wikimedia.org/wiki/Category:Mount_Ikeda_(Gifu),Mount Ikeda (Gifu),Q981510,"[""mountain""]",other,"池田山,mount ikeda,mont ikeda,mount ikeda,جبل مونت ايكيدا,mont ikeda,အခဒတောင",https://geohack.toolforge.org/geohack.php?pagename=Category:Mount_Ikeda_(Gifu)&params=35.441111111111_N_136.51694444444_E_globe:Earth_&language=en,35.441111111111,136.51694444444,JP,Japan,Asia,Eastern Asia,Tarui,,
16,https://commons.wikimedia.org/wiki/Category:Sendai_Trust_Tower,Sendai Trust Tower,Q3478525,"[""tower block""]",tower,"sendai trust tower,仙台トラストタワー,sendai trust tower",https://geohack.toolforge.org/geohack.php?pagename=Category:Sendai_Trust_Tower&params=38.2565_N_140.876_E_globe:Earth_&language=en,38.2565,140.876,JP,Japan,Asia,Eastern Asia,Sendai,,
17,https://commons.wikimedia.org/wiki/Category:Mazda_Museum,Mazda Museum,Q11340571,"[""automobile museum"", ""corporate museum""]",other,"馬自達博物館,マツタミューシアム,musee mazda,mazda museum",https://geohack.toolforge.org/geohack.php?pagename=Category:Mazda_Museum&params=34.377058333333_N_132.50301111111_E_globe:Earth_&language=en,34.377058333333,132.50301111111,JP,Japan,Asia,Eastern Asia,Hiroshima-shi,node/7414801683,
18,https://commons.wikimedia.org/wiki/Category:Ginowan_City_Museum,Ginowan City Museum,Q11452301,"[""city museum""]",other,"宜野湾市立博物館,ginowan city museum,ginowan city museum",https://geohack.toolforge.org/geohack.php?pagename=Category:Ginowan_City_Museum&params=26.269806_N_127.740611_E_globe:Earth_&language=en,26.269806,127.740611,JP,Japan,Asia,Eastern Asia,Ginowan,node/1068015481,
19,https://commons.wikimedia.org/wiki/Category:Mount_Otensho,Mount Otensho,Q11434178,"[""mountain""]",other,"大天井岳,大天荘,大天井ヒュッテ,mount otesho,mount daitenjo,dai-tenjo-dake,o-tesho-dake,mont otesho",https://geohack.toolforge.org/geohack.php?pagename=Category:Mount_Otensho&params=36.365_N_137.701111_E_globe:Earth_&language=en,36.365,137.701111,JP,Japan,Asia,Eastern Asia,Hotaka,node/1845028382,
20,https://commons.wikimedia.org/wiki/Category:K%C5%8Don-ji,Kōon-ji,Q11667203,"[""Buddhist temple""]",other,"香園寺,kouon-ji temple,kouon-ji,koon-ji,koon-ji,kouon-ji,koon-ji (saijo),wihara kouon-ji",https://geohack.toolforge.org/geohack.php?pagename=Category:K%C5%8Don-ji&params=33.893527777778_N_133.10330555556_E_globe:Earth_&language=en,33.893527777778,133.10330555556,JP,Japan,Asia,Eastern Asia,Saijo,,
21,https://commons.wikimedia.org/wiki/Category:Miboro_Dam,Miboro Dam,Q6827787,"[""rock-fill dam"", ""hydroelectric dam""]",other,"miboro dam,御母衣水壩,御母衣タム,御母衣発電所,御母衣湖,miboro-damu,diga di miboro,سد میبورو,سد ميبورو,miboro toʻgʻoni",https://geohack.toolforge.org/geohack.php?pagename=Category:Miboro_Dam&params=36.13825_N_136.91080556_E_globe:Earth_&language=en,36.13825,136.91080556,JP,Japan,Asia,Eastern Asia,Takayama,,
22,https://commons.wikimedia.org/wiki/Category:Yabakei,Yabakei,Q868686,"[""valley""]",other,"耶马溪,耶馬溪,耶馬溪,耶馬渓,耶馬溪,yabakei,yabakei,yaba valley,yaba kei,耶馬溪,耶馬渓,耶馬溪,耶马溪,yaba kei,yabakei",https://geohack.toolforge.org/geohack.php?pagename=Category:Yabakei&params=33.44055556_N_131.14111111_E_globe:Earth_&language=en,33.44055556,131.14111111,JP,Japan,Asia,Eastern Asia,Nakatsu,,
23,"https://commons.wikimedia.org/wiki/Category:Rakanji,_Kasai",Rakan-ji (Kasai),Q11608594,"[""Buddhist temple""]",other,"羅漢寺 (加西市),五百羅漢 (兵庫県),羅漢寺 (兵庫県),rakan-ji temple (kasai)","https://geohack.toolforge.org/geohack.php?pagename=Category:Rakanji,_Kasai&params=34.937033_N_134.829328_E_globe:Earth_&language=en",34.937033,134.829328,JP,Japan,Asia,Eastern Asia,Ono,,
