entity_id,wikimedia_url,poi_name,category,poi_name_tags
6,https://commons.wikimedia.org/wiki/Category:Tsurugisaki_Lighthouse,Tsurugisaki Lighthouse,tower,"tsurugisaki lighthouse,剱埼灯台,剣埼灯台,faro de tsurugisaki"
16,https://commons.wikimedia.org/wiki/Category:Sendai_Trust_Tower,Sendai Trust Tower,tower,"sendai trust tower,仙台トラストタワー,sendai trust tower"
45,"https://commons.wikimedia.org/wiki/Category:Nagara_Bridge,_Osaka","Nagara Bridge, Osaka",bridge,"長柄橋,長柄の人柱,nagara bridge, osaka"
60,https://commons.wikimedia.org/wiki/Category:Shime_Winding_Tower,Shime Winding Tower,tower,"志免鉱業所竪坑櫓,shime winding tower"
108,https://commons.wikimedia.org/wiki/Category:Hayase_Bridge,Hayase Bridge,bridge,"早瀬大橋,pont gran hayase,pont hayase,puente grande hayase,hayase ohashi,hayase ohashi,hayase oohashi,puente hayase,hayase bridge,hayase bridge"
109,https://commons.wikimedia.org/wiki/Category:Ueda_Roman_Bridge,Ueda Roman Bridge,bridge,"上田ローマン橋,ueda roman bridge"
120,"https://commons.wikimedia.org/wiki/Category:Furukawa_Bridge,_Tochigi","Furukawa Bridge, Tochigi",bridge,"古河橋,furukawa bridge,pont furukawa"
133,https://commons.wikimedia.org/wiki/Category:Tokiwa_Bridge_(Nihonbashi_River),Tokiwa Bridge (Nihonbashi River),bridge,"常盤橋,常磐橋,tokiwa bridge,tokiwa bridge"
136,https://commons.wikimedia.org/wiki/Category:Enakyo_Bridge,Enakyo Bridge,bridge,"恵那峡大橋,enakyo bridge,enakyo bridge"
187,https://commons.wikimedia.org/wiki/Category:Takato_Castle,Takato Castle,palace_castle,"高遠城,高遠城,burg takato,takato castle,chateau de koenjo,高遠城,castel de koenjo,castell de takato,ടകററോ കാസിൽ,castillo de takato,다카토성,قلعه تاکاتويو"
197,https://commons.wikimedia.org/wiki/Category:Taga_Castle,Taga Castle,palace_castle,"多贺城,多賀城,多賀城,多賀城,多賀城跡,多賀柵,taga castle,taga-jo,taga no ki,site of tagajo,замок таґа,多賀城,site de tagajo,castillo de taga,burg taga,taga-jo,taga no ki,burg taga,taga castle,тага,castell taga,taga,ടാഗ കാസററിൽ,타가성,grad taga,قلعه تاگا,taga"
198,https://commons.wikimedia.org/wiki/Category:Hanz%C5%8D-mon,Hanzō-mon,arch_gate,"한조 문,한조몬,半蔵門,半藏門,hanzo-mon,hanzomon,hanzo gate,castel de hanzo-mon"
207,https://commons.wikimedia.org/wiki/Category:Miki_Castle,Miki Castle,palace_castle,"미키성,三木城,miki castle,chateau de miki,castel de miki,قلعه میکی,thanh miki,castelul miki,三木城"
238,https://commons.wikimedia.org/wiki/Category:Benten_Bridge_(Yokohama),Benten Bridge (Yokohama),bridge,"弁天橋,benten bridge,benten-brug,辯天橋"
248,https://commons.wikimedia.org/wiki/Category:Motoyasu_Bridge,Motoyasu Bridge,bridge,"元安橋,motoyasu bridge,pont motoyasu,motoyasu-bashi,پل موتویاسو"
252,https://commons.wikimedia.org/wiki/Category:Onawaba_Bridge,Onawaba Bridge,bridge,"大縄場大橋,onawaba bridge"
277,https://commons.wikimedia.org/wiki/Category:Funai_Castle,Funai Castle,palace_castle,"府内城,府內城,府內城,府内城,大分城,荷揚城,府内城址,zamek funai,chateau de funai,castel de funai,후나이성,castillo funai,funai castle,oita castle,oita castle,niage castle,府內城,funai gaztelua,burg funai,funai castle,قلعه فونای,castell de funai,castell d'oita,قلعة فوناي"
298,https://commons.wikimedia.org/wiki/Category:Iwamura_Castle,Iwamura Castle,palace_castle,"岩村城,岩村城,岩村城,岩村城,霧ヶ城,iwamura gaztelua,замок ивамура,이와무라성,chateau d'iwamura,castel d'iwamura,castillo iwamura,iwamura castle,岩村城,burg iwamura,iwamura castle,قلعه ایوامورا,castelo iwamura,замок івамура,castell d'iwamura,ivamura qal’asi,iwamura kalesi"
300,https://commons.wikimedia.org/wiki/Category:Iwadeyama_Castle,Iwadeyama Castle,palace_castle,"岩出山城,岩出山城跡,chateau d'iwadeyama,castel d'iwadeyama,iwadeyama castle,قلعه ایواده‌یاما"
301,https://commons.wikimedia.org/wiki/Category:Fudo_Bridge,Fudo Bridge,bridge,"不動大橋,不動大橋 (群馬県),fudo ohashi bridge,fudo bridge,후도 대교"
329,https://commons.wikimedia.org/wiki/Category:Shinjuku_Nomura_Building,Shinjuku Nomura Building,tower,"新宿野村大厦,新宿野村大廈,新宿野村大廈,新宿野村ヒルティンク,新宿野村ヒル,野村ヒル,shinjuku nomura building,신주쿠 노무라 빌딩,shinjuku nomura building,nomura building,shinjuku nomura building,新宿野村大厦,shinjuku nomura building,shinjuku nomura building,مبنى شينجوكو نومورا,shinjuku nomura binası"
330,https://commons.wikimedia.org/wiki/Category:Yoshida-kouriyama_Castle,Yoshida-kouriyama Castle,palace_castle,"吉田郡山城,吉田郡山城,吉田郡山城,吉田郡山城,郡山城,고리야마 성,요시다 고리야마 성,요시다 고리야마 산성,아키 고리야마 성,замок есида-корияма,замок есида-коорияма,замок иосіда-кооріяма,замок иосіда кооріяма,吉田郡山城,yoshida-koriyama castle,koriyama castle,chateau de yoshida-koriyama,castel de yoshida-koriyama,قلعه یوشیدا-کورییاما,castell de yoshida-koriyama,castillo yoshida-koriyama,castillo koriyama"
347,https://commons.wikimedia.org/wiki/Category:Nakamurayama_Castle_(Owase),Nakamurayama Castle (Owase),palace_castle,"chateau de nakamurayama,castel de nakamurayama,nakamurayama castle,中村山城,中村山公園,nakamurayama castle"
377,https://commons.wikimedia.org/wiki/Category:Atami_Castle,Atami Castle,palace_castle,"아타미성,熱海城,熱海城,atami castle"
400,https://commons.wikimedia.org/wiki/Category:Senjushinbashi,Senjushinbashi,bridge,"千住新橋,senjushinbashi,senju new bridge,센주 신교"
406,https://commons.wikimedia.org/wiki/Category:Shin-Kizugawa_Bridge,Shin-Kizugawa Bridge,bridge,"新木津川大橋,新木津川大橋,新木津川大桥,shin-kizugawa bridge,新木津川大桥,新木津川大桥"
409,https://commons.wikimedia.org/wiki/Category:Rokko_Bridge_(2012),Rokko Bridge (2012),bridge,"鹿行大橋,rokko bridge,鹿行大橋,鹿行大桥,rokko-brug,鹿行大桥,鹿行大桥"
413,https://commons.wikimedia.org/wiki/Category:Odai_Bridge,Odai Bridge,bridge,"小台橋,odai bridge,odai bridge"
429,https://commons.wikimedia.org/wiki/Category:Chikiumisaki_Lighthouse,Chikiumisaki Lighthouse,tower,"チキウ岬灯台,chikiumisaki lighthouse,chikiumisaki vuurtoren,mercusuar chikiumisaki,地球岬燈塔"
436,https://commons.wikimedia.org/wiki/Category:Yokohama_War_Cemetery,Yokohama War Cemetery,monument_statue,"英連邦戦死者墓地,yokohama war cemetery,yokohama war cemetery"
445,https://commons.wikimedia.org/wiki/Category:Chitose_Gomon,Chitose Gomon,arch_gate,"千歳御門,chitose gomon"
447,https://commons.wikimedia.org/wiki/Category:Kazurabashi,Kazurabashi,bridge,"蔓橋,葛橋,藤蔓橋,かすら橋,kazurabashi,蔓橋,葛橋,藤蔓橋,葛橋,kazura bridge at the iya valley,kazura bridge at the iya valley,pont kazura,kazura-bashi,kazurabashi,kazura-brucke im iya-tal,kazurabashi"
474,https://commons.wikimedia.org/wiki/Category:JP_Tower,JP Tower,tower,"jpタワー,kitte,キッテ丸の内,jp tower,japan post tower,tour japan post,jp塔,jp 타워,jp tower,برج جى بى"
496,https://commons.wikimedia.org/wiki/Category:Nagahama_Castle,Nagahama Castle,palace_castle,"chateau de nagahama,nagahama castle,ho park,長濱城 (近江國),burg nagahama (omi),나가하마성,오미 나가하마 성,나가하마 성 (오미노쿠니),나가하마 성 (시가 현),長浜城,今浜城,豊公園,castillo nagahama,ปราสาทนะงะฮะมะ,قلعه ناگاهاما,castell de nagahama,castell nagahama"
509,https://commons.wikimedia.org/wiki/Category:Kitsuki_Castle,Kitsuki Castle,palace_castle,"杵築城,kitsuki castle,burg kitsuki,chateau de kitsuki,castel de kitsuki,castell de kitsuki,замок кіцукі,قلعه کیتسوکی"
550,https://commons.wikimedia.org/wiki/Category:Zanpa_Lighthouse,Zanpa Lighthouse,tower,"殘波岬燈塔,残波岬灯台,cape zanpa lighthouse,zanpa misaki lighthouse,zanpa lighthouse,잔파곶 등대"
567,https://commons.wikimedia.org/wiki/Category:Tatebayashi_Castle,Tatebayashi Castle,palace_castle,"館林城,尾曳城,tatebayashi castle,castillo de tatebayashi,قلعه تاته‌بایاشی,castell de tatebayashi,ടാററെബയാകഷി കാസററിൽ,chateau de tatebayashi"
575,https://commons.wikimedia.org/wiki/Category:Innoshima_Bridge,Innoshima Bridge,bridge,"ponte innoshima,因島大橋,pont innoshima,innoshima o-hashi,innoshima bridge,innoshima o-hashi,puente innoshima,puente de innoshima,innoshima-broen,innoshima-brua,因島大橋,因岛大桥,因島大橋,인노시마 대교,innoshima-brucke,جسر اينوشيما"
587,https://commons.wikimedia.org/wiki/Category:Sawayama_Castle,Sawayama Castle,palace_castle,"佐和山城,佐和山城,佐和山城,佐和山城,佐和山城跡,佐和山,佐和山の城,sawajama,hrad sawajama,chateau de sawayama,사와 산성,사와야마 성,castillo sawayama,sawayama castle,castell sawayama,castell de sawayama,佐和山城,قلعه ساوایاما,castello di sawayama"
