row_idx,category,id,owner,datetaken,title,tags,latitude,longitude,place_id,url_n,img_id,text,country_code,country,region,subregion,city,cluster_id,entities
0,bridge,54767165350,87954630@N00,1757065363,20250905 18:42 Sanjoohashi Kyoto,kyoto sanjoohashi 0905 sep 2025,35.009319,135.771286,,https://live.staticflickr.com/65535/54767165350_1915264c05_n.jpg,bridge-35.009319-135.771286-1757065363-87954630@N00-54767165350-n.jpg,20250905 18:42 Sanjoohashi Kyoto kyoto sanjoohashi 0905 sep 2025,JP,Japan,Asia,Eastern Asia,Kyoto,0,sanjoohashi
1,bridge,54269975438,94693136@N05,1722059058,kyoto_20240727144418,三条大橋 鴨川,35.009141,135.772108,,https://live.staticflickr.com/65535/54269975438_950310dba2_n.jpg,bridge-35.009141-135.772108-1722059058-94693136@N05-54269975438-n.jpg,kyoto_20240727144418 三条大橋 鴨川,JP,Japan,Asia,Eastern Asia,Kyoto,0,三条大橋
2,bridge,52270533230,94693136@N05,1653718802,kyoto_20220528152002,京都 kyoto 鴨川 三条大橋,35.008966,135.771341,,https://live.staticflickr.com/65535/52270533230_f9aa50f892_n.jpg,bridge-35.008966-135.771341-1653718802-94693136@N05-52270533230-n.jpg,kyoto_20220528152002 京都 kyoto 鴨川 三条大橋,JP,Japan,Asia,Eastern Asia,Kyoto,0,kyoto
3,bridge,48424533962,24105697@N08,1564519900,Kyoto - Kamogawa River,四条大橋 三条大橋 shijo sanjo 2019 summer agua water rio kamogawa river kyoto kioto japón japan 日本 猛暑日 川 夏 京都 鴨川 d3200 dslr nikon ニコン,35.008926,135.77121,,https://live.staticflickr.com/65535/48424533962_54189d4ab2_n.jpg,bridge-35.008926-135.771210-1564519900-24105697@N08-48424533962-n.jpg,Kyoto - Kamogawa River 四条大橋 三条大橋 shijo sanjo 2019 summer agua water rio kamogawa river kyoto kioto japón japan 日本 猛暑日 川 夏 京都 鴨川 d3200 dslr nikon ニコン,JP,Japan,Asia,Eastern Asia,Kyoto,0,"kamogawa river,kamogawa river"
4,bridge,48424533712,24105697@N08,1564519956,Kyoto - Mountains in Summer,kyoto kioto sanjo mountains summer 2019 京都 夏 山々 水墨画 cloudy sunny kitayama 北山 kamogawa 鴨川 三条大橋 日本 japan japón viaje river montaña rio,35.009086,135.771703,,https://live.staticflickr.com/65535/48424533712_6e09f38ccd_n.jpg,bridge-35.009086-135.771703-1564519956-24105697@N08-48424533712-n.jpg,Kyoto - Mountains in Summer kyoto kioto sanjo mountains summer 2019 京都 夏 山々 水墨画 cloudy sunny kitayama 北山 kamogawa 鴨川 三条大橋 日本 japan japón viaje river montaña rio,JP,Japan,Asia,Eastern Asia,Kyoto,0,"river,rio"
5,bridge,46631312235,114479642@N02,1543992549,20181205-LRTP_2210.jpg,sanjoohashi starbuckscoffee 京都市 京都府 日本 jp travel,35.009361,135.772141,9cw_d0JQV7obLp8N5A,https://live.staticflickr.com/7815/46631312235_e6066fffea_n.jpg,bridge-35.009361-135.772141-1543992549-114479642@N02-46631312235-n.jpg,20181205-LRTP_2210.jpg sanjoohashi starbuckscoffee 京都市 京都府 日本 jp travel,JP,Japan,Asia,Eastern Asia,Kyoto,0,""
6,bridge,46631311455,114479642@N02,1543992482,20181205-LRTP_2203-EX.jpg,sanjoohashi starbuckscoffee 京都市 京都府 日本 jp travel,35.009361,135.772141,9cw_d0JQV7obLp8N5A,https://live.staticflickr.com/7820/46631311455_2709234d25_n.jpg,bridge-35.009361-135.772141-1543992482-114479642@N02-46631311455-n.jpg,20181205-LRTP_2203-EX.jpg sanjoohashi starbuckscoffee 京都市 京都府 日本 jp travel,JP,Japan,Asia,Eastern Asia,Kyoto,0,""
7,bridge,46488086985,40133449@N00,1552117069,"sakura '19 - cherry blossoms #3 (Sanjo, Kyoto)",xt10 fujifilm raw lightroom japan kyoto flower cherry sakura kawazuzakura pink 京都 三条 三条大橋 桜 河津桜,35.008733,135.771489,vAd3SUZTUb5ktGbw,https://live.staticflickr.com/7877/46488086985_b01072fc68_n.jpg,bridge-35.008733-135.771489-1552117069-40133449@N00-46488086985-n.jpg,"sakura '19 - cherry blossoms #3 (Sanjo, Kyoto) xt10 fujifilm raw lightroom japan kyoto flower cherry sakura kawazuzakura pink 京都 三条 三条大橋 桜 河津桜",JP,Japan,Asia,Eastern Asia,Kyoto,0,"三条,三条大橋"
8,bridge,45610339705,132751912@N05,1544915407,Sanjō Ōhashi,kyoto 京都 三条大橋 sanjō bridge milvus1450,35.009172,135.771961,9cw_d0JQV7obLp8N5A,https://live.staticflickr.com/4813/45610339705_0bbd25b2ce_n.jpg,bridge-35.009172-135.771961-1544915407-132751912@N05-45610339705-n.jpg,Sanjō Ōhashi kyoto 京都 三条大橋 sanjō bridge milvus1450,JP,Japan,Asia,Eastern Asia,Kyoto,0,"sanjo ohashi,三条大橋,sanjo bridge"
9,bridge,44145683812,24105697@N08,1534659626,Hot Summer in Kyoto - August 2018,kyoto japan summer 2018 sunday sunny kamogawa sanjo 京都 日本 夏 2018年 比叡山 鴨川 三条大橋 kamoriver 三条 川 景色 水 河川 山 東山 kyotoshi,35.008926,135.77121,9cw_d0JQV7obLp8N5A,https://live.staticflickr.com/1811/44145683812_8ed56b1279_n.jpg,bridge-35.008926-135.771210-1534659626-24105697@N08-44145683812-n.jpg,Hot Summer in Kyoto - August 2018 kyoto japan summer 2018 sunday sunny kamogawa sanjo 京都 日本 夏 2018年 比叡山 鴨川 三条大橋 kamoriver 三条 川 景色 水 河川 山 東山 kyotoshi,JP,Japan,Asia,Eastern Asia,Kyoto,0,kamoriver
