row_idx,category,id,owner,datetaken,title,tags,latitude,longitude,place_id,url_n,img_id,text,country_code,country,region,subregion,city,cluster_id,entities
0,palace_castle,54209538854,14581164@N00,1732345771,"",日本 兵庫 竹田城,35.300941,134.830261,,https://live.staticflickr.com/65535/54209538854_5beb53aa5e_n.jpg,palace_castle-35.300941-134.830261-1732345771-14581164@N00-54209538854-n.jpg,日本 兵庫 竹田城,JP,Japan,Asia,Eastern Asia,Toyooka,0,""
1,palace_castle,54209299276,14581164@N00,1732346428,"",日本 兵庫 竹田城,35.300749,134.829819,,https://live.staticflickr.com/65535/54209299276_0bb1a40127_n.jpg,palace_castle-35.300749-134.829819-1732346428-14581164@N00-54209299276-n.jpg,日本 兵庫 竹田城,JP,Japan,Asia,Eastern Asia,Toyooka,0,""
2,palace_castle,54209290106,14581164@N00,1732345684,"",日本 兵庫 竹田城,35.30093,134.830277,,https://live.staticflickr.com/65535/54209290106_2d063ac0e5_n.jpg,palace_castle-35.300930-134.830277-1732345684-14581164@N00-54209290106-n.jpg,日本 兵庫 竹田城,JP,Japan,Asia,Eastern Asia,Toyooka,0,""
3,palace_castle,54208388192,14581164@N00,1732345771,"",日本 兵庫 竹田城,35.300941,134.830261,,https://live.staticflickr.com/65535/54208388192_bc4a600dc2_n.jpg,palace_castle-35.300941-134.830261-1732345771-14581164@N00-54208388192-n.jpg,日本 兵庫 竹田城,JP,Japan,Asia,Eastern Asia,Toyooka,0,""
4,palace_castle,54209697605,14581164@N00,1732346428,"",日本 兵庫 竹田城,35.300749,134.829819,,https://live.staticflickr.com/65535/54209697605_15cc92fe32_n.jpg,palace_castle-35.300749-134.829819-1732346428-14581164@N00-54209697605-n.jpg,日本 兵庫 竹田城,JP,Japan,Asia,Eastern Asia,Toyooka,0,""
5,palace_castle,54209529234,14581164@N00,1732346373,"",日本 兵庫 竹田城,35.300591,134.829238,,https://live.staticflickr.com/65535/54209529234_6943aa1292_n.jpg,palace_castle-35.300591-134.829238-1732346373-14581164@N00-54209529234-n.jpg,日本 兵庫 竹田城,JP,Japan,Asia,Eastern Asia,Toyooka,0,""
6,palace_castle,54209529204,14581164@N00,1732345708,"",日本 兵庫 竹田城,35.300991,134.830308,,https://live.staticflickr.com/65535/54209529204_b50cba688d_n.jpg,palace_castle-35.300991-134.830308-1732345708-14581164@N00-54209529204-n.jpg,日本 兵庫 竹田城,JP,Japan,Asia,Eastern Asia,Toyooka,0,""
7,palace_castle,54209523298,14581164@N00,1732346335,"",日本 兵庫 竹田城,35.300675,134.829163,,https://live.staticflickr.com/65535/54209523298_4fa77d1080_n.jpg,palace_castle-35.300675-134.829163-1732346335-14581164@N00-54209523298-n.jpg,日本 兵庫 竹田城,JP,Japan,Asia,Eastern Asia,Toyooka,0,""
8,palace_castle,54209519633,14581164@N00,1732344980,"",日本 兵庫 竹田城,35.300636,134.830216,,https://live.staticflickr.com/65535/54209519633_c21e8f46cb_n.jpg,palace_castle-35.300636-134.830216-1732344980-14581164@N00-54209519633-n.jpg,日本 兵庫 竹田城,JP,Japan,Asia,Eastern Asia,Toyooka,0,""
9,palace_castle,54209285746,14581164@N00,1732345417,"",日本 兵庫 竹田城,35.301125,134.830383,,https://live.staticflickr.com/65535/54209285746_21962f4566_n.jpg,palace_castle-35.301125-134.830383-1732345417-14581164@N00-54209285746-n.jpg,日本 兵庫 竹田城,JP,Japan,Asia,Eastern Asia,Toyooka,0,""
