row_idx,category,id,owner,datetaken,title,tags,latitude,longitude,place_id,url_n,img_id,text,country_code,country,region,subregion,city,cluster_id,entities
0,monument_statue,55049753450,90952376@N00,1765518223,20251212_144343_九州_臼杵石佛.jpg,臼杵石佛 臼杵市 大分縣 日本,33.089711,131.763308,,https://live.staticflickr.com/65535/55049753450_91d2ac9f26_n.jpg,monument_statue-33.089711-131.763308-1765518223-90952376@N00-55049753450-n.jpg,20251212_144343_九州_臼杵石佛.jpg 臼杵石佛 臼杵市 大分縣 日本,JP,Japan,Asia,Eastern Asia,Usuki,0,""
1,monument_statue,55048507572,90952376@N00,1765518005,20251212_144005_九州_臼杵石佛.jpg,臼杵石佛 臼杵市 大分縣 日本,33.089738,131.763358,,https://live.staticflickr.com/65535/55048507572_45baf0ceb3_n.jpg,monument_statue-33.089738-131.763358-1765518005-90952376@N00-55048507572-n.jpg,20251212_144005_九州_臼杵石佛.jpg 臼杵石佛 臼杵市 大分縣 日本,JP,Japan,Asia,Eastern Asia,Usuki,0,""
2,monument_statue,55049411071,90952376@N00,1765517845,20251212_143725_九州_臼杵石佛.jpg,臼杵石佛 臼杵市 大分縣 日本,33.089761,131.763172,,https://live.staticflickr.com/65535/55049411071_69794e7bb2_n.jpg,monument_statue-33.089761-131.763172-1765517845-90952376@N00-55049411071-n.jpg,20251212_143725_九州_臼杵石佛.jpg 臼杵石佛 臼杵市 大分縣 日本,JP,Japan,Asia,Eastern Asia,Usuki,0,""
3,monument_statue,55048507227,90952376@N00,1765517746,20251212_143546_九州_臼杵石佛.jpg,臼杵石佛 臼杵市 大分縣 日本,33.090072,131.762802,,https://live.staticflickr.com/65535/55048507227_275c04226c_n.jpg,monument_statue-33.090072-131.762802-1765517746-90952376@N00-55048507227-n.jpg,20251212_143546_九州_臼杵石佛.jpg 臼杵石佛 臼杵市 大分縣 日本,JP,Japan,Asia,Eastern Asia,Usuki,0,""
4,monument_statue,55049667909,90952376@N00,1765517701,20251212_143501_九州_臼杵石佛.jpg,臼杵石佛 臼杵市 大分縣 日本,33.089775,131.76268,,https://live.staticflickr.com/65535/55049667909_986eb127dc_n.jpg,monument_statue-33.089775-131.762680-1765517701-90952376@N00-55049667909-n.jpg,20251212_143501_九州_臼杵石佛.jpg 臼杵石佛 臼杵市 大分縣 日本,JP,Japan,Asia,Eastern Asia,Usuki,0,""
5,monument_statue,55049667804,90952376@N00,1765517636,20251212_143356_九州_臼杵石佛.jpg,臼杵石佛 臼杵市 大分縣 日本,33.089427,131.7624,,https://live.staticflickr.com/65535/55049667804_e30f177c10_n.jpg,monument_statue-33.089427-131.762400-1765517636-90952376@N00-55049667804-n.jpg,20251212_143356_九州_臼杵石佛.jpg 臼杵石佛 臼杵市 大分縣 日本,JP,Japan,Asia,Eastern Asia,Usuki,0,""
6,monument_statue,55049597278,90952376@N00,1765517569,20251212_143249_九州_臼杵石佛.jpg,臼杵石佛 臼杵市 大分縣 日本,33.089402,131.762472,,https://live.staticflickr.com/65535/55049597278_392d8c921c_n.jpg,monument_statue-33.089402-131.762472-1765517569-90952376@N00-55049597278-n.jpg,20251212_143249_九州_臼杵石佛.jpg 臼杵石佛 臼杵市 大分縣 日本,JP,Japan,Asia,Eastern Asia,Usuki,0,""
7,monument_statue,55049752535,90952376@N00,1765517481,20251212_143121_九州_臼杵石佛.jpg,臼杵石佛 臼杵市 大分縣 日本,33.08935,131.762308,,https://live.staticflickr.com/65535/55049752535_4b337e8534_n.jpg,monument_statue-33.089350-131.762308-1765517481-90952376@N00-55049752535-n.jpg,20251212_143121_九州_臼杵石佛.jpg 臼杵石佛 臼杵市 大分縣 日本,JP,Japan,Asia,Eastern Asia,Usuki,0,""
8,monument_statue,55049410196,90952376@N00,1765517241,20251212_142721_九州_臼杵石佛.jpg,臼杵石佛 臼杵市 大分縣 日本,33.089775,131.762022,,https://live.staticflickr.com/65535/55049410196_3ea95607a9_n.jpg,monument_statue-33.089775-131.762022-1765517241-90952376@N00-55049410196-n.jpg,20251212_142721_九州_臼杵石佛.jpg 臼杵石佛 臼杵市 大分縣 日本,JP,Japan,Asia,Eastern Asia,Usuki,0,""
9,monument_statue,55048506497,90952376@N00,1765516916,20251212_142156_九州_臼杵石佛.jpg,臼杵石佛 臼杵市 大分縣 日本,33.089727,131.762369,,https://live.staticflickr.com/65535/55048506497_95620646d3_n.jpg,monument_statue-33.089727-131.762369-1765516916-90952376@N00-55048506497-n.jpg,20251212_142156_九州_臼杵石佛.jpg 臼杵石佛 臼杵市 大分縣 日本,JP,Japan,Asia,Eastern Asia,Usuki,0,""
