row_idx,category,id,owner,title,datetaken,tags,latitude,longitude,place_id,img_id,country_code,country,region,subregion,city,cluster_id,text,entities,scene_pred,viewpoint_pred
0,tower,55346997908,119711719@N03,Have a seat! (Japan 29),1774811190,asia japan honshu kansai urban city osaka skyscraper modernarchitecture modern umedaskybuilding mirror 140meters,34.705263,135.489922,,tower-34.705263-135.489922-1774811190-119711719@N03-55346997908-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Have a seat! (Japan 29) asia japan honshu kansai urban city osaka skyscraper modernarchitecture modern umedaskybuilding mirror 140meters,"",indoor,ground
1,tower,55339279214,119711719@N03,What's Real. (Japan 27),1774808400,asia japan honshu kansai tree urban city osaka skyscraper modernarchitecture modern umedaskybuilding mirror,34.705516,135.48993,,tower-34.705516-135.489930-1774808400-119711719@N03-55339279214-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,What's Real. (Japan 27) asia japan honshu kansai tree urban city osaka skyscraper modernarchitecture modern umedaskybuilding mirror,"",indoor,aerial
2,tower,55334039440,119711719@N03,Monochrome Heaven. (Japan 26b),1774808004,asia japan honshu kansai tree urban city osaka skyscraper modernarchitecture modern umedaskybuilding escalator blackandwhite monochrome,34.705377,135.490183,,tower-34.705377-135.490183-1774808004-119711719@N03-55334039440-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Monochrome Heaven. (Japan 26b) asia japan honshu kansai tree urban city osaka skyscraper modernarchitecture modern umedaskybuilding escalator blackandwhite monochrome,"",indoor,ground
3,tower,55326977036,119711719@N03,[In Explore] Heaven. (Japan 26a),1774808004,asia japan honshu kansai tree urban city osaka skyscraper modernarchitecture modern umedaskybuilding escalator,34.705377,135.490183,,tower-34.705377-135.490183-1774808004-119711719@N03-55326977036-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,[In Explore] Heaven. (Japan 26a) asia japan honshu kansai tree urban city osaka skyscraper modernarchitecture modern umedaskybuilding escalator,"",indoor,aerial
4,tower,55159831106,26373083@N03,Craig and me at the top of Kobe Port Tower,1773477158,ec1jack kierankellyasia japan kansai spring kierankelly asia kobe port tower,34.682697,135.1868,,tower-34.682697-135.186800-1773477158-26373083@N03-55159831106-n.jpg,JP,Japan,Asia,Eastern Asia,Kobe,1,Craig and me at the top of Kobe Port Tower ec1jack kierankellyasia japan kansai spring kierankelly asia kobe port tower,"kobe port tower,kobe port tower",outdoor,ground
5,tower,55158940047,26373083@N03,Craig and me at Kobe Port Tower,1773475948,ec1jack kierankellyasia japan kansai spring kierankelly asia kobe port tower red,34.682444,135.186844,,tower-34.682444-135.186844-1773475948-26373083@N03-55158940047-n.jpg,JP,Japan,Asia,Eastern Asia,Kobe,1,Craig and me at Kobe Port Tower ec1jack kierankellyasia japan kansai spring kierankelly asia kobe port tower red,"kobe port tower,kobe port tower",outdoor,ground
6,tower,55133903827,11564134@N08,Umeda Sky Building in Osaka 2025.11.06-13.jpg,1762424898,kansai umeda building bridge umedaskybuilding reflection city cityscape walkway people lights observationdeck sightseeing urban skyscraper aerialview skyline night glass window architecture escalator truss osaka japan steelbeam osakashi,34.705486,135.489955,,tower-34.705486-135.489955-1762424898-11564134@N08-55133903827-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building in Osaka 2025.11.06-13.jpg kansai umeda building bridge umedaskybuilding reflection city cityscape walkway people lights observationdeck sightseeing urban skyscraper aerialview skyline night glass window architecture escalator truss osaka japan steelbeam osakashi,umeda sky building,indoor,ground
7,tower,55135179780,11564134@N08,Christmas Tree under the Umeda Sky Building,1762422751,kansai celebrating building modernarchitecture people christmaslights city cityscape windows star holiday outdoor publicsquare illuminated skyscraper plaza umeda night urban christmastree decoration architecture holidayseason pavement osaka japan fence osakashi,34.705252,135.490202,,tower-34.705252-135.490202-1762422751-11564134@N08-55135179780-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Christmas Tree under the Umeda Sky Building kansai celebrating building modernarchitecture people christmaslights city cityscape windows star holiday outdoor publicsquare illuminated skyscraper plaza umeda night urban christmastree decoration architecture holidayseason pavement osaka japan fence osakashi,umeda sky building,indoor,ground
8,tower,55135178165,11564134@N08,Umeda Sky Building in Osaka 2025.11.06-10.jpg,1762422430,night umeda railing tourists observing umedaskybuilding people city cityscape glowinthedarkfloor sightseeing skyscraper observationdeck glasspanel aerialview citylights skyline kansai rooftop tourism ledlight osaka japan column osakashi,34.705625,135.489761,,tower-34.705625-135.489761-1762422430-11564134@N08-55135178165-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Umeda Sky Building in Osaka 2025.11.06-10.jpg night umeda railing tourists observing umedaskybuilding people city cityscape glowinthedarkfloor sightseeing skyscraper observationdeck glasspanel aerialview citylights skyline kansai rooftop tourism ledlight osaka japan column osakashi,umeda sky building,indoor,ground
9,tower,55134780706,11564134@N08,Osaka Skyline from Umeda Sky Building 2025.11.06-3.jpg,1762422248,view night umeda building crowd observing umedaskybuilding city cityscape tourist man backpack smartphone silhouette sightseeing skyscraper takingaphoto observationdeck travel citylights dusk camera rooftop skyline kansai osaka japan railing osakashi,34.705366,135.490208,,tower-34.705366-135.490208-1762422248-11564134@N08-55134780706-n.jpg,JP,Japan,Asia,Eastern Asia,Osaka-shi,0,Osaka Skyline from Umeda Sky Building 2025.11.06-3.jpg view night umeda building crowd observing umedaskybuilding city cityscape tourist man backpack smartphone silhouette sightseeing skyscraper takingaphoto observationdeck travel citylights dusk camera rooftop skyline kansai osaka japan railing osakashi,umeda sky building,outdoor,ground
