wikimedia_url,valid_pov_neighbor
https://commons.wikimedia.org/wiki/Category:Osaka_Tower,""
https://commons.wikimedia.org/wiki/Category:JP_Tower,""
https://commons.wikimedia.org/wiki/Category:Marunouchi_Park_Building,""
https://commons.wikimedia.org/wiki/Category:Shinjuku_Park_Tower,"14,19"
https://commons.wikimedia.org/wiki/Category:Dentsu_Headquarters_Building,""
https://commons.wikimedia.org/wiki/Category:Sompo_Japan_Head_Office_Building,""
https://commons.wikimedia.org/wiki/Category:Nakagin_Capsule_Tower,20
https://commons.wikimedia.org/wiki/Category:Kyoto_Tower,5
https://commons.wikimedia.org/wiki/Category:Grand_Front_Osaka_Owner's_Tower,""
https://commons.wikimedia.org/wiki/Category:Midtown_Tower,10
https://commons.wikimedia.org/wiki/Category:Sapporo_Clock_Tower,""
https://commons.wikimedia.org/wiki/Category:World_Trade_Center_Building_(Tokyo),""
https://commons.wikimedia.org/wiki/Category:Shiodome_City_Center,""
https://commons.wikimedia.org/wiki/Category:Kobe_Port_Tower,"1,2"
https://commons.wikimedia.org/wiki/Category:Shinjuku_Mitsui_Building,""
https://commons.wikimedia.org/wiki/Category:Shinjuku_Oak_Tower,19
https://commons.wikimedia.org/wiki/Category:Shiodome_Media_Tower,21
https://commons.wikimedia.org/wiki/Category:NEC_Supertower,""
https://commons.wikimedia.org/wiki/Category:Nagoya_Port_Building,""
https://commons.wikimedia.org/wiki/Category:NTT_DoCoMo_Yoyogi_Building,""
https://commons.wikimedia.org/wiki/Category:Enoshima_Sea_Candle,9
https://commons.wikimedia.org/wiki/Category:Owl_Tower,""
https://commons.wikimedia.org/wiki/Category:Mori_Tower,10
https://commons.wikimedia.org/wiki/Category:Shinjuku_Sumitomo_Building,""
https://commons.wikimedia.org/wiki/Category:City_Tower_Nishi-Umeda,""
https://commons.wikimedia.org/wiki/Category:Shinjuku_Green_Tower_Building,14
https://commons.wikimedia.org/wiki/Category:Tokyo_Tower,11
https://commons.wikimedia.org/wiki/Category:Shinjuku_L_Tower,"14,19"
https://commons.wikimedia.org/wiki/Category:Tokyo_Midtown_Hibiya,""
https://commons.wikimedia.org/wiki/Category:Inubosaki_Lighthouse,28
https://commons.wikimedia.org/wiki/Category:Bunkyo_Civic_Center,18
https://commons.wikimedia.org/wiki/Category:Cerulean_Tower,""
https://commons.wikimedia.org/wiki/Category:JR_Tower,""
https://commons.wikimedia.org/wiki/Category:Mode_Gakuen_Cocoon_Tower,16
https://commons.wikimedia.org/wiki/Category:Nihonbashi_Mitsui_Tower,""
https://commons.wikimedia.org/wiki/Category:Ginza_Mitsui_Building,""
https://commons.wikimedia.org/wiki/Category:Tokyo_Skytree,12
https://commons.wikimedia.org/wiki/Category:Abeno_Harukas,3
https://commons.wikimedia.org/wiki/Category:Acty_Shiodome,""
https://commons.wikimedia.org/wiki/Category:Shinjuku_Center_Building,""
https://commons.wikimedia.org/wiki/Category:Shiodome_NTV_Tower,21
https://commons.wikimedia.org/wiki/Category:Gate_Tower_Building,0
https://commons.wikimedia.org/wiki/Category:Tokyo_Shiodome_Building,""
https://commons.wikimedia.org/wiki/Category:Shinjuku_Nomura_Building,""
https://commons.wikimedia.org/wiki/Category:Marunouchi_Building_(2002),""
https://commons.wikimedia.org/wiki/Category:Tokyo_Opera_City_Tower,14
https://commons.wikimedia.org/wiki/Category:Umeda_Sky_Building,0
https://commons.wikimedia.org/wiki/Category:Shinjuku_i-land_tower,""
https://commons.wikimedia.org/wiki/Category:Shin-Marunouchi_Building,""
https://commons.wikimedia.org/wiki/Category:GranTokyo,""
https://commons.wikimedia.org/wiki/Category:Sunshine_60,""
https://commons.wikimedia.org/wiki/Category:Panasonic_Tokyo_Shiodome_Building,""
https://commons.wikimedia.org/wiki/Category:Sapporo_TV_Tower,30
