cluster_id,latitude,longitude,n_points,new_cluster_id
0,34.705281561993395,135.49023968483274,260,0
1,34.68258656120332,135.1867379801718,100,1
2,34.68010589244711,135.18480814945818,74,2
3,34.64603213283323,135.51343387971676,83,3
4,34.65232154141327,135.50613803715382,233,4
5,34.9869660762728,135.75916049063383,456,5
6,34.98603192156985,135.74225847058776,51,6
7,35.089682999999965,136.88081799999998,56,7
8,35.17054345125023,136.90932904929485,60,8
9,35.29975062545697,139.47844707152086,56,9
10,35.6606420924238,139.72942115285136,710,10
11,35.65790636114564,139.74593336428305,2387,11
12,35.71280728161398,139.79913610151903,883,12
13,35.71011263715807,139.81073392045926,1528,12
14,35.65913191989336,139.70093234442734,191,13
15,35.689915281817115,139.69197299546002,556,14
16,35.70801262016543,139.81876240329134,266,12
17,35.69377632642945,139.70094640137359,77,15
18,35.69183058789797,139.6967117379956,251,16
19,35.65617565287924,139.7567703915454,321,11
20,35.45464975219439,139.63149157011145,205,17
21,35.70805936574404,139.75235123846062,63,18
22,35.688259487842046,139.70014780774093,109,19
23,35.66585019309952,139.7631163845081,52,20
24,35.66345677028632,139.7596856914809,65,21
25,35.72748221952325,139.8371055613304,114,22
26,35.72997649099001,139.71724434437417,84,23
27,35.670317321430964,139.7618813928281,56,21
28,35.71768500259407,139.8058045876182,546,12
29,35.627358533930845,139.78241730027042,60,24
30,35.74288090587967,139.8225197906057,137,25
31,35.70775996309728,139.79830592606527,107,12
32,35.68191224772822,139.76490763945154,94,26
33,35.68374253346365,139.76856406674895,60,27
34,35.71618557379279,139.79469755725063,61,12
35,35.70787309249535,140.8685422892802,76,28
36,40.67932922126344,141.36147103845505,104,29
37,43.06102584107853,141.35562629299986,68,30
